Model,Manufacturer,Price_USD,Rating,OS_Clean,Processor_Manufacturer,Processor_Generation,Core_Count,Thread_Count,RAM_GB,RAM_Type,Storage_GB,Storage_Type,Graphics_Manufacturer,Graphics_Type,Graphics_Memory_GB,Screen_Size_inches,Resolution_Width,Resolution_Height,Touchscreen,Warranty_Years
Lenovo IdeaPad Slim 3 83EQ0044IN Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),LENOVO,664.68,57.0,Windows,INTEL,12.0,8.0,12.0,16.0,DDR5,512,SSD,INTEL,Integrated,0.0,14.0,1920.0,1080.0,False,1.0
Honor MagicBook X16 2024 ‎Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),HONOR,563.88,54.0,Windows,INTEL,12.0,8.0,12.0,16.0,DDR4,512,SSD,INTEL,Integrated,0.0,16.0,1920.0,1200.0,False,1.0
HP Omen 16-xf0081AX Gaming Laptop (AMD Ryzen 7 7840HS/ 32GB/ 1TB SSD/ Win11/ 8GB Graph),HP,1631.99,68.0,Windows,AMD,7.0,8.0,16.0,32.0,DDR5,1000,SSD,NVIDIA,Dedicated,8.0,16.0,1440.0,2560.0,False,1.0
Acer Aspire Lite 15 AL15-52 Laptop (12th Gen Core i3/ 16GB/ 512GB SSD/ Win11),ACER,418.56,56.0,Windows,INTEL,12.0,6.0,8.0,16.0,DDR4,512,SSD,INTEL,Integrated,0.0,15.6,1920.0,1080.0,False,1.0
HP Omen 16-wf1025TX Gaming Laptop (14th Gen Core i7/ 16GB/ 1TB SSD/ Win11 Home/ 8GB Graph),HP,1667.88,79.0,Windows,INTEL,14.0,20.0,28.0,16.0,DDR5,1000,SSD,NVIDIA,Dedicated,8.0,16.1,1920.0,1080.0,False,1.0
Lenovo IdeaPad Slim 3 83ER008GIN Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),LENOVO,641.88,57.0,Windows,INTEL,12.0,8.0,12.0,16.0,DDR5,512,SSD,INTEL,Integrated,0.0,15.6,1920.0,1080.0,False,1.0
HP Victus 15-fa1145TX Gaming Laptop (12th Gen Core i5/ 16GB/ 1TB SSD/ Win11 Home/ 4GB Graph),HP,788.28,68.0,Windows,INTEL,12.0,8.0,12.0,16.0,DDR4,1000,SSD,NVIDIA,Dedicated,4.0,15.6,1920.0,1080.0,False,1.0
Colorful Evol P15 Gaming Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win11/ 8GB Graph),COLORFUL,1079.99,70.0,Windows,INTEL,12.0,10.0,16.0,16.0,DDR5,512,SSD,NVIDIA,Dedicated,8.0,15.6,2560.0,1440.0,False,1.0
Apple MacBook Pro 16 2023 Laptop (Apple M3 Max/ 48GB/ 1TB SSD/ macOS),APPLE,4798.8,65.0,Mac,APPLE,12.0,16.0,12.0,48.0,Other,1000,SSD,OTHER,Integrated,0.0,16.2,3456.0,2234.0,False,1.0
Dell Inspiron 3530 Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Home),DELL,839.88,53.0,Windows,INTEL,13.0,10.0,12.0,16.0,DDR4,512,SSD,INTEL,Integrated,0.0,15.6,1920.0,1080.0,False,1.0
Asus Vivobook 15 X1502ZA-EJ385WS Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11),ASUS,479.88,53.0,Windows,INTEL,12.0,10.0,12.0,8.0,DDR4,512,SSD,INTEL,Integrated,0.0,15.6,1920.0,1080.0,False,1.0
HP Pavilion 15-eg3032TU Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Home),HP,1016.4,64.0,Windows,INTEL,13.0,12.0,16.0,16.0,DDR4,512,SSD,INTEL,Integrated,0.0,15.6,1920.0,1080.0,False,1.0
Dell G15-5530 15 2023 Gaming Laptop (13th Gen Core i7/ 16GB/ 1TB SSD/ Win11/ 6GB Graph),DELL,1199.88,70.0,Windows,INTEL,13.0,14.0,12.0,16.0,DDR5,1000,SSD,NVIDIA,Dedicated,6.0,15.6,1920.0,1080.0,False,1.0
HP 15s-fq5185TU Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),HP,436.19,55.0,Windows,INTEL,12.0,6.0,8.0,8.0,DDR4,512,SSD,INTEL,Integrated,0.0,15.6,1920.0,1080.0,False,1.0
Zebronics Pro Series Y ZEB-NBC 2S Laptop (11th Gen Core i5 / 16GB/ 512GB SSD/ Win11 Home),ZEBRONICS,335.88,57.0,Windows,INTEL,11.0,4.0,8.0,16.0,DDR4X,512,SSD,INTEL,Integrated,0.0,15.6,1920.0,1080.0,False,1.0
Zebronics ZEB-NBC 5S 2023 Laptop (12th Gen Core i7 / 16GB/ 1TB SSD/ Win11 Home),ZEBRONICS,527.88,66.0,Windows,INTEL,12.0,10.0,12.0,16.0,DDR4,1000,SSD,INTEL,Integrated,0.0,15.6,1920.0,1080.0,False,1.0
Lenovo ThinkBook 15 G5 21JFA00BIN Laptop (AMD Ryzen 7 7730U/ 8 GB/ 512 GB SSD/ Win11),LENOVO,539.88,65.0,Windows,AMD,7.0,8.0,16.0,8.0,DDR4,512,SSD,AMD,Integrated,0.0,15.6,1920.0,1080.0,False,1.0
Lenovo IdeaPad Slim 3 82RK00VWIN Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11),LENOVO,419.88,54.0,Windows,INTEL,12.0,6.0,8.0,8.0,DDR4,512,SSD,INTEL,Integrated,0.0,15.6,1920.0,1080.0,False,1.0
